preco;tipo;area;quartos;bairro
1800;Apartamento;45;1;asa sul
600;Kitnet;30;1;asa norte
1200;Apartamento;37;1;aguas claras
600;Kitnet;25;1;asa norte
2600;Hotel-Flat;49;1;asa sul
750;Kitnet;25;1;asa norte
800;Kitnet;28;1;asa norte
2600;Apartamento;51;1;asa sul
2700;Apartamento;48;1;lago norte
2300;Apartamento;48;1;asa norte
480;Casa;30;1;taguatinga
700;Apartamento;55;1;areal
1600;Apartamento;29;1;sudoeste
600;Kitnet;25;1;asa norte
2600;Apartamento;51;1;asa sul
2500;Hotel-Flat;25;1;asa norte
2500;Hotel-Flat;49;1;asa norte
2900;Apartamento;51;1;asa norte
2700;Hotel-Flat;48;1;asa sul
2800;Hotel-Flat;51;1;asa norte
900;Kitnet;40;1;sudoeste
2300;Hotel-Flat;48;1;asa norte
2300;Apartamento;48;1;asa norte
800;Kitnet;28;1;asa sul
2300;Apartamento;48;1;asa norte
3200;Hotel-Flat;48;1;asa sul
800;Kitnet;33;1;sudoeste
1750;Apartamento;33;1;aguas claras
3000;Apartamento;48;1;asa sul
850;Apartamento;35;1;guara ii
3500;Apartamento;48;1;asa sul
215000;Apartamento;32;1;aguas claras
6500;Hotel-Flat;100;1;asa norte
3600;Hotel-Flat;28;1;asa norte
2500;Apartamento;38;1;asa norte
690;Apartamento;50;1;ceilandia
700;Kitnet;22;1;asa norte
700;Kitnet;33;1;asa norte
700;Kitnet;30;1;asa norte
1600;Kitnet;26;1;asa sul
1500;Kitnet;28;1;sudoeste
1950;Apartamento;65;1;lago norte
750;Kitnet;33;1;asa norte
1500;Kitnet;28;1;asa norte
1100;Apartamento;30;1;lago norte
750;Apartamento;30;1;samambaia
1200;Kitnet;27;1;sudoeste
815;Apartamento;35;1;aguas claras
1300;Kitnet;24;1;park sul
1300;Kitnet;28;1;lago norte
850;Apartamento;35;1;guara ii
595;Kitnet;24;1;asa norte
1150;Kitnet;22;1;asa norte
1000;Apartamento;35;1;asa norte
1100;Apartamento;31;1;aguas claras
2300;Apartamento;50;1;asa norte
1300;Apartamento;30;1;aguas claras
1990;Hotel-Flat;46;1;asa sul
800;Kitnet;27;1;asa norte
1000;Apartamento;30;1;sudoeste
750;Apartamento;40;1;taguatinga
860;Kitnet;33;1;aguas claras
800;Kitnet;27;1;sudoeste
450;Casa;29;1;ceilandia
1250;Kitnet;34;1;aguas claras
2500;Hotel-Flat;44;1;park sul
700;Kitnet;27;1;asa norte
4000;Hotel-Flat;60;1;asa sul
1100;Apartamento;25;1;asa norte
980;Kitnet;26;1;asa norte
820;Apartamento;33;1;ceilandia
1100;Kitnet;27;1;sudoeste
1971;Apartamento;27;1;asa norte
1090;Kitnet;27;1;sudoeste
1350;Apartamento;32;1;aguas claras
600;Kitnet;30;1;guara ii
1300;Kitnet;30;1;sudoeste
1200;Apartamento;39;1;asa norte
850;Kitnet;38;1;asa norte
1000;Apartamento;40;1;aguas claras
1150;Kitnet;26;1;asa norte
850;Apartamento;35;1;guara ii
1300;Apartamento;37;1;sudoeste
1700;Apartamento;51;1;lago norte
700;Apartamento;48;1;guara ii
1450;Apartamento;35;1;aguas claras
1800;Hotel-Flat;23;1;asa norte
750;Kitnet;29;1;asa norte
1150;Apartamento;32;1;taguatinga
610;Casa;34;1;ceilandia
750;Apartamento;30;1;guara ii
7200;Apartamento;51;1;asa sul
1000;Apartamento;30;1;aguas claras
900;Kitnet;30;1;asa norte
1700;Kitnet;25;1;sudoeste
1099;Kitnet;32;1;lago norte
1200;Apartamento;30;1;lago norte
1400;Kitnet;25;1;asa sul
550;Apartamento;50;1;areal
900;Kitnet;25;1;asa norte
1200;Kitnet;30;1;aguas claras
1185;Apartamento;28;1;asa sul
500;Kitnet;30;1;samambaia
570;Kitnet;20;1;asa norte
2900;Apartamento;51;1;asa norte
900;Kitnet;25;1;asa norte
600;Apartamento;40;1;taguatinga
1200;Apartamento;38;1;asa norte
900;Casa;60;1;taguatinga
1100;Kitnet;28;1;asa norte
700;Kitnet;26;1;lago norte
800;Kitnet;30;1;asa norte
1400;Kitnet;27;1;sudoeste
750;Kitnet;27;1;asa norte
1100;Kitnet;38;1;sudoeste
800;Kitnet;25;1;asa sul
850;Kitnet;25;1;asa norte
700;Kitnet;22;1;asa norte
3000;Apartamento;37;1;asa norte
800;Apartamento;30;1;guara ii
1600;Apartamento;41;1;asa norte
1300;Sala;32;1;asa sul
750;Apartamento;45;1;taguatinga
1100;Kitnet;26;1;cruzeiro
500;Apartamento;40;1;areal
980;Apartamento;49;1;asa norte
650;Kitnet;30;1;asa norte
1300;Apartamento;24;1;asa sul
950;Kitnet;39;1;asa norte
900;Kitnet;33;1;aguas claras
850;Kitnet;32;1;asa norte
600;Apartamento;30;1;taguatinga
2000;Apartamento;45;1;noroeste
1220;Kitnet;25;1;asa sul
750;Apartamento;24;1;riacho fundo
750;Kitnet;28;1;asa norte
850;Apartamento;30;1;asa norte
2700;Apartamento;40;1;asa norte
1050;Apartamento;33;1;lago norte
850;Kitnet;27;1;asa norte
4000;Hotel-Flat;44;1;asa norte
900;Kitnet;20;1;asa norte
900;Kitnet;25;1;asa norte
1300;Kitnet;25;1;sudoeste
1150;Kitnet;30;1;sudoeste
800;Kitnet;25;1;asa norte
1300;Apartamento;26;1;asa norte
750;Kitnet;30;1;sobradinho
900;Apartamento;29;1;sudoeste
1050;Apartamento;32;1;aguas claras
720;Kitnet;26;1;asa norte
1400;Kitnet;24;1;park sul
790;Kitnet;27;1;asa norte
1100;Apartamento;40;1;aguas claras
1800;Kitnet;34;1;noroeste
650;Apartamento;45;1;nucleo bandeirante
1400;Kitnet;42;1;asa norte
2800;Apartamento;120;1;jardim botanico
650;Kitnet;23;1;asa norte
500;Kitnet;30;1;nucleo bandeirante
2500;Apartamento;48;1;asa sul
850;Kitnet;27;1;sudoeste
1290;Kitnet;26;1;asa norte
850;Kitnet;27;1;sudoeste
1500;Hotel-Flat;29;1;asa norte
700;Kitnet;22;1;asa norte
1200;Apartamento;30;1;lago norte
650;Apartamento;40;1;ceilandia
890;Kitnet;30;1;sudoeste
750;Apartamento;32;1;asa norte
1450;Kitnet;30;1;lago sul
750;Kitnet;22;1;asa norte
3000;Hotel-Flat;30;1;asa sul
1000;Kitnet;30;1;asa sul
900;Kitnet;29;1;sudoeste
2200;Hotel-Flat;37;1;asa norte
1200;Apartamento;30;1;lago norte
800;Kitnet;30;1;asa norte
800;Kitnet;25;1;sudoeste
901;Kitnet;31;1;asa norte
800;Kitnet;30;1;sudoeste
600;Kitnet;30;1;asa norte
750;Apartamento;25;1;guara ii
590;Kitnet;19;1;asa norte
900;Kitnet;30;1;lago norte
800;Apartamento;30;1;guara ii
850;Apartamento;50;1;sobradinho
3500;Apartamento;79;1;sudoeste
1800;Hotel-Flat;28;1;park sul
2300;Sala;37;1;asa sul
1590;Apartamento;33;1;noroeste
400;Casa;50;1;ceilandia
1450;Kitnet;35;1;sudoeste
1400;Apartamento;33;1;asa sul
1100;Apartamento;32;1;aguas claras
600;Kitnet;32;1;taguatinga
450;Kitnet;35;1;ceilandia
800;Apartamento;46;1;vicente pires
1300;Kitnet;25;1;asa sul
1300;Kitnet;25;1;asa sul
600;Kitnet;30;1;guara ii
1900;Apartamento;45;1;lago norte
1050;Kitnet;27;1;asa norte
2100;Casa;58;1;lago norte
1200;Kitnet;40;1;jardim botanico
1600;Apartamento;56;1;lago norte
1100;Apartamento;40;1;aguas claras
1100;Kitnet;34;1;lago norte
700;Kitnet;28;1;asa norte
1300;Apartamento;35;1;asa norte
600;Kitnet;58;1;nucleo bandeirante
850;Apartamento;30;1;asa norte
1150;Kitnet;27;1;sudoeste
1500;Hotel-Flat;33;1;aguas claras
1800;Hotel-Flat;30;1;asa norte
1500;Apartamento;33;1;aguas claras
